ancho_cm,largo_m,peso_g_m2,proveedor,cubre_cierre,talla_prenda,prendas_totales
140,48.6,130,A,0,1,91
140,103.2,90,A,0,1,137
140,80.4,160,A,0,1,110
120,137.8,200,A,0,1,168
140,101.6,200,A,0,1,141
150,87.2,160,A,0,1,127
150,142.0,160,A,0,1,179
150,67.7,110,A,0,1,120
140,63.6,130,A,1,1,108
140,92.6,240,A,0,1,134
150,142.4,160,A,0,1,171
160,78.7,160,A,1,1,127
140,96.2,110,A,1,1,142
150,67.2,160,A,0,1,118
140,108.1,160,A,0,1,153
120,128.6,90,A,0,1,156
150,90.2,320,A,1,1,140
140,139.3,160,A,1,1,159
140,128.6,240,A,1,1,173
150,103.9,200,A,0,1,147
150,115.1,90,A,1,1,152
160,78.3,110,A,1,1,126
150,21.8,110,A,1,1,74
140,101.8,160,A,0,1,125
160,90.4,320,A,0,1,133
120,64.3,160,A,0,1,96
150,115.7,240,A,1,1,163
150,133.4,160,A,1,1,174
160,119.1,160,A,0,1,159
140,83.2,110,A,0,1,125
150,81.6,240,A,0,1,118
150,75.6,280,A,1,1,115
150,46.4,160,A,0,1,94
150,116.4,130,A,1,1,153
140,28.8,280,A,1,1,60
120,108.0,130,A,0,1,146
150,128.5,280,A,0,1,169
140,52.3,110,A,1,1,100
140,76.4,200,A,0,1,108
120,107.5,280,A,0,1,131
150,26.3,280,A,0,1,75
160,124.1,200,A,0,1,167
150,139.2,200,A,0,1,168
120,69.9,130,A,0,1,108
140,71.4,240,A,0,1,110
150,59.2,240,A,1,1,109
140,95.8,160,A,0,1,135
160,146.0,130,A,0,1,179
160,72.4,320,A,0,1,126
120,110.5,280,A,0,1,133
140,40.8,130,A,0,1,81
150,98.7,160,A,1,1,135
150,119.8,200,A,0,1,154
140,46.0,200,A,0,1,96
150,79.1,160,A,0,1,124
150,31.7,160,A,1,1,86
150,140.2,200,A,1,1,164
140,78.9,110,A,1,1,119
120,140.9,130,A,0,1,177
160,41.4,110,A,0,1,100
150,133.8,280,A,1,1,166
150,61.6,90,A,1,1,97
140,73.3,130,A,0,1,112
140,61.2,240,A,0,1,100
160,22.9,110,A,1,1,77
140,55.4,240,A,0,1,98
140,82.4,160,A,0,1,114
150,27.0,160,A,0,1,82
150,23.5,160,A,0,1,70
120,74.4,130,A,0,1,111
150,64.0,160,A,0,1,115
140,100.2,240,A,1,1,139
150,96.3,160,A,0,1,129
120,129.9,240,A,0,1,158
120,66.4,280,A,1,1,96
140,86.2,160,A,0,1,129
140,26.5,90,A,0,1,71
150,140.5,160,A,0,1,170
120,79.5,90,A,0,1,106
140,140.1,200,A,0,1,161
150,61.3,110,A,0,1,104
150,90.7,200,A,0,1,126
140,45.2,160,A,0,1,89
